iter	Passed	Remaining
0	19	49017
1	34	43660
2	51	43128
3	68	42837
4	87	43562
5	102	42661
6	118	42251
7	134	41846
8	152	42172
9	168	42058
10	186	42160
11	204	42385
12	227	43568
13	250	44553
14	277	45934
15	305	47497
16	333	48714
17	359	49603
18	385	50398
19	410	50950
20	439	51831
21	463	52255
22	490	52865
23	513	52951
24	536	53086
25	561	53445
26	582	53366
27	602	53174
28	621	52924
29	640	52739
30	665	52987
31	685	52888
32	702	52553
33	719	52150
34	737	51934
35	758	51911
36	780	51947
37	799	51825
38	818	51672
39	837	51510
40	860	51634
41	879	51467
42	899	51392
43	918	51275
44	939	51264
45	959	51190
46	981	51205
47	1002	51212
48	1027	51390
49	1052	51573
50	1079	51816
51	1104	52012
52	1130	52214
53	1157	52421
54	1180	52465
55	1203	52508
56	1228	52666
57	1256	52908
58	1286	53213
59	1307	53161
60	1328	53116
61	1346	52954
62	1369	52957
63	1391	52957
64	1411	52867
65	1430	52770
66	1453	52775
67	1475	52788
68	1497	52747
69	1519	52755
70	1542	52759
71	1560	52607
72	1580	52532
73	1600	52483
74	1623	52495
75	1644	52435
76	1662	52327
77	1682	52240
78	1700	52127
79	1723	52128
80	1747	52180
81	1766	52087
82	1788	52085
83	1808	52018
84	1827	51928
85	1849	51918
86	1869	51840
87	1887	51743
88	1909	51737
89	1929	51680
90	1953	51724
91	1973	51648
92	1994	51629
93	2018	51671
94	2042	51700
95	2068	51788
96	2092	51829
97	2115	51844
98	2138	51854
99	2159	51837
100	2182	51846
101	2207	51907
102	2233	51985
103	2255	51973
104	2278	51964
105	2297	51899
106	2317	51840
107	2338	51784
108	2356	51691
109	2375	51623
110	2396	51569
111	2419	51597
112	2440	51542
113	2457	51444
114	2476	51352
115	2493	51238
116	2510	51142
117	2528	51035
118	2549	51009
119	2565	50878
120	2580	50731
121	2596	50607
122	2613	50507
123	2629	50391
124	2646	50280
125	2663	50179
126	2677	50035
127	2693	49921
128	2709	49799
129	2726	49702
130	2742	49599
131	2759	49511
132	2778	49442
133	2796	49369
134	2816	49332
135	2833	49259
136	2852	49201
137	2871	49148
138	2889	49073
139	2907	49005
140	2924	48932
141	2942	48860
142	2960	48797
143	2977	48716
144	2996	48662
145	3014	48603
146	3032	48532
147	3051	48500
148	3073	48495
149	3096	48518
150	3124	48606
151	3146	48597
152	3169	48625
153	3195	48676
154	3218	48697
155	3244	48743
156	3264	48717
157	3270	48479
158	3292	48474
159	3312	48447
160	3332	48420
161	3356	48446
162	3375	48402
163	3393	48343
164	3413	48304
165	3432	48265
166	3450	48207
167	3468	48152
168	3487	48105
169	3507	48072
170	3524	48005
171	3540	47917
172	3556	47840
173	3574	47780
174	3593	47747
175	3609	47664
176	3624	47568
177	3640	47484
178	3656	47407
179	3671	47326
180	3689	47268
181	3708	47230
182	3725	47164
183	3741	47089
184	3757	47017
185	3774	46963
186	3792	46914
187	3812	46888
188	3830	46842
189	3849	46806
190	3868	46764
191	3886	46716
192	3904	46668
193	3925	46663
194	3945	46637
195	3963	46588
196	3981	46540
197	3998	46490
198	4016	46443
199	4034	46391
200	4052	46353
201	4077	46388
202	4102	46424
203	4133	46519
204	4157	46546
205	4183	46585
206	4205	46587
207	4227	46586
208	4250	46596
209	4271	46580
210	4293	46573
211	4318	46605
212	4336	46564
213	4354	46513
214	4376	46512
215	4396	46486
216	4418	46482
217	4436	46442
218	4456	46414
219	4475	46377
220	4493	46333
221	4511	46294
222	4530	46256
223	4545	46187
224	4561	46122
225	4579	46079
226	4596	46026
227	4612	45961
228	4629	45908
229	4645	45853
230	4662	45796
231	4678	45734
232	4695	45682
233	4709	45610
234	4727	45560
235	4744	45513
236	4762	45472
237	4778	45413
238	4796	45377
239	4815	45342
240	4833	45303
241	4852	45273
242	4870	45234
243	4888	45201
244	4906	45159
245	4921	45098
246	4939	45051
247	4955	45003
248	4976	44986
249	4996	44969
250	5020	44985
251	5045	45011
252	5070	45035
253	5097	45077
254	5122	45095
255	5145	45105
256	5169	45119
257	5194	45136
258	5220	45173
259	5241	45159
260	5263	45156
261	5286	45155
262	5306	45136
263	5326	45113
264	5345	45083
265	5365	45065
266	5388	45069
267	5408	45043
268	5427	45013
269	5447	44995
270	5466	44958
271	5484	44920
272	5502	44890
273	5520	44852
274	5542	44843
275	5563	44830
276	5584	44813
277	5603	44791
278	5624	44770
279	5642	44739
280	5661	44707
281	5686	44727
282	5708	44719
283	5729	44705
284	5749	44682
285	5768	44652
286	5797	44699
287	5822	44719
288	5848	44746
289	5877	44790
290	5908	44854
291	5936	44889
292	5962	44908
293	5987	44929
294	6014	44958
295	6040	44975
296	6062	44965
297	6081	44940
298	6107	44956
299	6127	44935
300	6150	44933
301	6173	44932
302	6184	44844
303	6202	44805
304	6220	44764
305	6240	44742
306	6259	44710
307	6278	44682
308	6296	44648
309	6317	44632
310	6337	44605
311	6354	44563
312	6374	44536
313	6394	44514
314	6411	44473
315	6429	44436
316	6447	44398
317	6463	44351
318	6481	44317
319	6502	44299
320	6521	44269
321	6537	44219
322	6554	44177
323	6571	44132
