coordinates,metro_station,extra
55.8148 37.7342,1,metro_1
55.8038 37.7448,2,metro_2
55.7963 37.7151,3,metro_3
55.7888 37.6802,4,metro_4
55.7801 37.6673,5,metro_5
55.7753 37.6562,6,metro_6
55.7690 37.6487,7,metro_7
55.7657 37.6388,8,metro_8
55.7597 37.6272,9,metro_9
55.7577 37.6166,10,metro_10
55.7512 37.6100,11,metro_11
55.7453 37.6037,12,metro_12
55.7356 37.5943,13,metro_13
55.7267 37.5786,14,metro_14
55.7233 37.5639,15,metro_15
55.7103 37.5592,16,metro_16
55.6926 37.5333,17,metro_17
55.6771 37.5060,18,metro_18
55.6637 37.4833,19,metro_19
55.6459 37.4725,20,metro_20
55.6330 37.4419,21,metro_21
55.6227 37.4240,22,metro_22
55.601367 37.407645,23,metro_23
55.586242 37.433802,24,metro_24
55.568643 37.459332,25,metro_25
55.560396 37.468220,26,metro_26
55.8791 37.4822,27,metro_27
55.8658 37.4764,28,metro_28
55.8549 37.4761,29,metro_29
55.8398 37.4867,30,metro_30
55.8190 37.4980,31,metro_31
55.8051 37.5153,32,metro_32
55.8003 37.5329,33,metro_33
55.7897 37.5580,34,metro_34
55.7767 37.5835,35,metro_35
55.7701 37.5958,36,metro_36
55.7647 37.6065,37,metro_37
55.7578 37.6190,38,metro_38
55.7415 37.6295,39,metro_39
55.7305 37.6377,40,metro_40
55.7074 37.6576,41,metro_41
55.6950 37.6641,42,metro_42
55.6785 37.6638,43,metro_43
55.6551 37.6487,44,metro_44
55.6358 37.6564,45,metro_45
55.6214 37.6694,46,metro_46
55.6132 37.6949,47,metro_47
55.6108 37.7186,48,metro_48
55.6137 37.7444,49,metro_49
55.6326 37.7660,50,metro_50
55.8563 37.3544,51,metro_51
55.8457 37.3622,52,metro_52
55.8354 37.3822,53,metro_53
55.8252 37.3852,54,metro_54
55.8038 37.4031,55,metro_55
55.7567 37.4081,56,metro_56
55.7408 37.4168,57,metro_57
55.7307 37.4459,58,metro_58
55.7296 37.4706,59,metro_59
55.7362 37.5182,60,metro_60
55.7442 37.5645,61,metro_61
55.7474 37.5823,62,metro_62
55.7522 37.6061,63,metro_63
55.7566 37.6216,64,metro_64
55.7576 37.6577,65,metro_65
55.7730 37.6806,66,metro_66
55.7817 37.7037,67,metro_67
55.7833 37.7208,68,metro_68
55.7886 37.7506,69,metro_69
55.7878 37.7814,70,metro_70
55.7948 37.7993,71,metro_71
55.8094 37.7986,72,metro_72
55.7307 37.4459,73,metro_73
55.7360 37.4671,74,metro_74
55.7396 37.4833,75,metro_75
55.7438 37.4977,76,metro_76
55.7460 37.5150,77,metro_77
55.7399 37.5344,78,metro_78
55.7388 37.5483,79,metro_79
55.7483 37.5339,80,metro_80
55.7502 37.5408,81,metro_81
55.7436 37.5655,82,metro_82
55.7488 37.5825,83,metro_83
55.7518 37.6007,84,metro_84
55.7525 37.6085,85,metro_85
55.7446 37.5644,86,metro_86
55.7613 37.5774,87,metro_87
55.7764 37.5844,88,metro_88
55.7799 37.6028,89,metro_89
55.7798 37.6318,90,metro_90
55.7748 37.6549,91,metro_91
55.7570 37.6595,92,metro_92
55.7418 37.6517,93,metro_93
55.7318 37.6379,94,metro_94
55.7291 37.6243,95,metro_95
55.7297 37.6091,96,metro_96
55.7357 37.5915,97,metro_97
55.8872 37.6613,98,metro_98
55.8694 37.6644,99,metro_99
55.8552 37.6527,100,metro_100
55.8449 37.6383,101,metro_101
55.8211 37.6411,102,metro_102
55.8088 37.6390,103,metro_103
55.7936 37.6362,104,metro_104
55.7812 37.6318,105,metro_105
55.7733 37.6319,106,metro_106
55.7661 37.6374,107,metro_107
55.7553 37.6333,108,metro_108
55.7412 37.6274,109,metro_109
55.7306 37.6112,110,metro_110
55.7198 37.6083,111,metro_111
55.7077 37.5861,112,metro_112
55.6877 37.5733,113,metro_113
55.6780 37.5627,114,metro_114
55.6702 37.5544,115,metro_115
55.6571 37.5405,116,metro_116
55.6428 37.5257,117,metro_117
55.6333 37.5188,118,metro_118
55.6191 37.5082,119,metro_119
55.6063 37.5333,120,metro_120
55.6010 37.5541,121,metro_121
55.8607 37.4364,122,metro_122
55.8505 37.4396,123,metro_123
55.8267 37.4368,124,metro_124
55.8182 37.4352,125,metro_125
55.8086 37.4641,126,metro_126
55.7935 37.4935,127,metro_127
55.7775 37.5192,128,metro_128
55.7738 37.5468,129,metro_129
55.7650 37.5613,130,metro_130
55.7612 37.5795,131,metro_131
55.7650 37.6079,132,metro_132
55.7606 37.6259,133,metro_133
55.7553 37.6333,134,metro_134
55.7402 37.6522,135,metro_135
55.7319 37.6659,136,metro_136
55.7253 37.6869,137,metro_137
55.7088 37.7316,138,metro_138
55.7056 37.7656,139,metro_139
55.7170 37.7933,140,metro_140
55.7156 37.8181,141,metro_141
55.7013 37.8525,142,metro_142
55.6855 37.8563,143,metro_143
55.6743 37.8582,144,metro_144
55.6339 37.3347,145,metro_145
55.6396 37.3552,146,metro_146
55.6476 37.3701,147,metro_147
55.6493 37.3909,148,metro_148
55.6595 37.4172,149,metro_149
55.6709 37.4491,150,metro_150
55.6896 37.4833,151,metro_151
55.6975 37.4984,152,metro_152
55.7069 37.5156,153,metro_153
55.7246 37.4970,154,metro_154
55.7362 37.5182,155,metro_155
55.7475 37.5319,156,metro_156
55.7412 37.6274,157,metro_157
55.7411 37.6543,158,metro_158
55.7472 37.6824,159,metro_159
55.7524 37.7191,160,metro_160
55.7576 37.7500,161,metro_161
55.7511 37.7866,162,metro_162
55.7517 37.8166,163,metro_163
55.7451 37.8638,164,metro_164
55.8980 37.5870,165,metro_165
55.8838 37.6034,166,metro_166
55.8633 37.6047,167,metro_167
55.8473 37.5899,168,metro_168
55.8351 37.5745,169,metro_169
55.8176 37.5765,170,metro_170
55.8069 37.5817,171,metro_171
55.7927 37.5885,172,metro_172
55.7810 37.6011,173,metro_173
55.7708 37.6187,174,metro_174
55.7644 37.6097,175,metro_175
55.7511 37.6072,176,metro_176
55.7379 37.6180,177,metro_177
55.7280 37.6246,178,metro_178
55.7087 37.6229,179,metro_179
55.6830 37.6224,180,metro_180
55.6724 37.6104,181,metro_181
55.6627 37.6055,182,metro_182
55.6524 37.5984,183,metro_183
55.6405 37.6067,184,metro_184
55.6224 37.6090,185,metro_185
55.6124 37.6044,186,metro_186
55.5949 37.6004,187,metro_187
55.5828 37.5966,188,metro_188
55.5693 37.5769,189,metro_189
55.865000 37.548333,190,metro_190
55.855833 37.561111,191,metro_191
55.846000 37.574250,192,metro_192
55.8351 37.5745,193,metro_193
55.8228 37.5881,194,metro_194
55.8133 37.6028,195,metro_195
55.7954 37.6162,196,metro_196
55.7816 37.6151,197,metro_197
55.7688 37.6200,198,metro_198
55.7668 37.6392,199,metro_199
55.7565 37.6573,200,metro_200
55.7463 37.6819,201,metro_201
55.7331 37.6673,202,metro_202
55.7186 37.6760,203,metro_203
55.7074 37.6851,204,metro_204
55.6934 37.7270,205,metro_205
55.6909 37.7530,206,metro_206
55.6758 37.7618,207,metro_207
55.6597 37.7505,208,metro_208
55.6500 37.7431,209,metro_209
55.6334 37.7436,210,metro_210
55.6211 37.7437,211,metro_211
55.6124 37.7453,212,metro_212
55.7585 37.4708,213,metro_213
55.7738 37.4844,214,metro_214
55.7475 37.5319,215,metro_215
55.7567 37.5260,216,metro_216
55.7768 37.5207,217,metro_217
55.7866 37.5333,218,metro_218
55.7918 37.5571,219,metro_219
55.7936 37.5880,220,metro_220
55.6004 37.5562,221,metro_221
55.5821 37.5769,222,metro_222
55.5690 37.5767,223,metro_223
55.5481 37.5546,224,metro_224
55.5455 37.5430,225,metro_225
55.5418 37.5308,226,metro_226
55.5380 37.5158,227,metro_227
55.8190 37.5789,228,metro_228
55.8218 37.5911,229,metro_229
55.8218 37.6089,230,metro_230
55.8218 37.6269,231,metro_231
55.8240 37.6383,232,metro_232
55.8292 37.6449,233,metro_233
55.8472 37.5694,234,metro_234
55.8476 37.5930,235,metro_235
55.8460 37.6413,236,metro_236
55.8400 37.6653,237,metro_237
55.8300 37.7006,238,metro_238
55.8172 37.7369,239,metro_239
55.8039 37.7460,240,metro_240
55.7886 37.7428,241,metro_241
55.7714 37.7451,242,metro_242
55.7590 37.7463,243,metro_243
55.7411 37.7344,244,metro_244
55.7322 37.7282,245,metro_245
55.7239 37.7161,246,metro_246
55.7183 37.6978,247,metro_247
55.7183 37.6978,248,metro_248
55.7063 37.6631,249,metro_249
55.6983 37.6483,250,metro_250
55.6900 37.6189,251,metro_251
55.6900 37.6050,252,metro_252
55.7069 37.5858,253,metro_253
55.7203 37.5631,254,metro_254
55.7408 37.5333,255,metro_255
55.7472 37.5322,256,metro_256
55.7575 37.5256,257,metro_257
55.7772 37.5072,258,metro_258
55.7878 37.5045,259,metro_259
55.7991 37.4988,260,metro_260
